Epoch: 0, Reward: -1, Policy loss: 0.6155505180358887, Critic Loss: 41752.55078125
Epoch: 31, Reward: -1, Policy loss: -0.16671094298362732, Critic Loss: 23600.5
Epoch: 32, Reward: -1, Policy loss: -0.18160875141620636, Critic Loss: 34822.5390625
Epoch: 33, Reward: -100, Policy loss: -0.1730230748653412, Critic Loss: 19821.21484375
Epoch: 34, Reward: -1, Policy loss: -0.17235395312309265, Critic Loss: 24647.408203125
Epoch: 35, Reward: -1, Policy loss: -0.16580086946487427, Critic Loss: 23902.099609375
Epoch: 36, Reward: -100, Policy loss: -0.16517318785190582, Critic Loss: 30045.7265625
Epoch: 37, Reward: -1, Policy loss: -0.17521992325782776, Critic Loss: 26707.13671875
Epoch: 38, Reward: -1, Policy loss: -0.164047971367836, Critic Loss: 24386.44140625
Epoch: 39, Reward: -100, Policy loss: -0.16879089176654816, Critic Loss: 25690.513671875
Epoch: 40, Reward: -1, Policy loss: -0.16598793864250183, Critic Loss: 26584.19921875
Epoch: 41, Reward: -1, Policy loss: -0.1768692582845688, Critic Loss: 28747.591796875
Epoch: 42, Reward: -1, Policy loss: -0.16951824724674225, Critic Loss: 32686.1484375
Epoch: 43, Reward: -100, Policy loss: -0.1836124211549759, Critic Loss: 25073.48046875
Epoch: 44, Reward: -1, Policy loss: -0.17013555765151978, Critic Loss: 22717.001953125
Epoch: 45, Reward: -1, Policy loss: -0.17755772173404694, Critic Loss: 20685.7578125
Epoch: 46, Reward: -1, Policy loss: -0.16687776148319244, Critic Loss: 25519.853515625
Epoch: 47, Reward: -1, Policy loss: -0.17379173636436462, Critic Loss: 24028.97265625
Epoch: 48, Reward: -1, Policy loss: -0.16170243918895721, Critic Loss: 26912.23828125
Epoch: 49, Reward: -1, Policy loss: -0.1919236034154892, Critic Loss: 24817.044921875
Epoch: 50, Reward: -1, Policy loss: -0.1534431129693985, Critic Loss: 16785.51171875
Epoch: 51, Reward: -100, Policy loss: -0.18143591284751892, Critic Loss: 22356.07421875
Epoch: 52, Reward: -1, Policy loss: -0.1667328178882599, Critic Loss: 33604.2890625
Epoch: 53, Reward: -1, Policy loss: -0.18203304708003998, Critic Loss: 26474.916015625
Epoch: 54, Reward: -1, Policy loss: -0.18482883274555206, Critic Loss: 21341.3046875
Epoch: 55, Reward: -1, Policy loss: -0.14232875406742096, Critic Loss: 27799.93359375
Epoch: 56, Reward: -1, Policy loss: -0.17637276649475098, Critic Loss: 22659.802734375
Epoch: 57, Reward: -1, Policy loss: -0.15272435545921326, Critic Loss: 26918.69140625
Epoch: 58, Reward: -1, Policy loss: -0.1773482710123062, Critic Loss: 25499.04296875
Epoch: 59, Reward: -1, Policy loss: -0.15746057033538818, Critic Loss: 23261.943359375
Epoch: 60, Reward: -1, Policy loss: -0.17763181030750275, Critic Loss: 24715.802734375
Epoch: 61, Reward: -1, Policy loss: -0.17249342799186707, Critic Loss: 25174.375
Epoch: 62, Reward: -1, Policy loss: -0.18302009999752045, Critic Loss: 33620.18359375
Epoch: 63, Reward: -1, Policy loss: -0.17568404972553253, Critic Loss: 21451.201171875
Epoch: 64, Reward: -1, Policy loss: -0.16750910878181458, Critic Loss: 19652.80859375
Epoch: 65, Reward: -1, Policy loss: -0.17051099240779877, Critic Loss: 19892.505859375
Epoch: 66, Reward: -1, Policy loss: -0.17976908385753632, Critic Loss: 26216.951171875
Epoch: 67, Reward: -1, Policy loss: -0.17497704923152924, Critic Loss: 27709.861328125
Epoch: 68, Reward: -1, Policy loss: -0.17498306930065155, Critic Loss: 28379.390625
Epoch: 69, Reward: -1, Policy loss: -0.17777913808822632, Critic Loss: 25629.169921875
Epoch: 70, Reward: -1, Policy loss: -0.17173925042152405, Critic Loss: 23865.08203125
Epoch: 71, Reward: -1, Policy loss: -0.1860138326883316, Critic Loss: 26939.166015625
Epoch: 72, Reward: -1, Policy loss: -0.16284120082855225, Critic Loss: 20223.32421875
Epoch: 73, Reward: -1, Policy loss: -0.18346667289733887, Critic Loss: 27082.72265625
Epoch: 74, Reward: -1, Policy loss: -0.16330815851688385, Critic Loss: 16286.73828125
Epoch: 75, Reward: -1, Policy loss: -0.18050715327262878, Critic Loss: 18883.0703125
Epoch: 76, Reward: -1, Policy loss: -0.1651581972837448, Critic Loss: 26548.990234375
Epoch: 77, Reward: -1, Policy loss: -0.17930155992507935, Critic Loss: 18475.224609375
Epoch: 78, Reward: -1, Policy loss: -0.16504332423210144, Critic Loss: 22003.685546875
Epoch: 79, Reward: -100, Policy loss: -0.1819590926170349, Critic Loss: 16952.66015625
Epoch: 80, Reward: -1, Policy loss: -0.1639220267534256, Critic Loss: 22927.8125
Epoch: 81, Reward: -1, Policy loss: -0.18817491829395294, Critic Loss: 25692.8046875
Epoch: 82, Reward: -1, Policy loss: -0.15773321688175201, Critic Loss: 25507.728515625
Epoch: 83, Reward: -1, Policy loss: -0.18335704505443573, Critic Loss: 26750.861328125
Epoch: 84, Reward: -1, Policy loss: -0.1665022373199463, Critic Loss: 25573.3984375
Epoch: 85, Reward: -1, Policy loss: -0.1862977296113968, Critic Loss: 25312.111328125
Epoch: 86, Reward: -1, Policy loss: -0.16944128274917603, Critic Loss: 17234.04296875
Epoch: 87, Reward: -1, Policy loss: -0.18429580330848694, Critic Loss: 23463.24609375
Epoch: 88, Reward: -100, Policy loss: -0.16028501093387604, Critic Loss: 24838.177734375
Epoch: 89, Reward: -1, Policy loss: -0.18993934988975525, Critic Loss: 18447.5859375
Epoch: 90, Reward: -1, Policy loss: -0.16872979700565338, Critic Loss: 23703.35546875
Epoch: 91, Reward: -1, Policy loss: -0.1867227852344513, Critic Loss: 21818.384765625
Epoch: 92, Reward: -1, Policy loss: -0.17066460847854614, Critic Loss: 32156.146484375
Epoch: 93, Reward: -1, Policy loss: -0.18294036388397217, Critic Loss: 24181.705078125
Epoch: 94, Reward: -1, Policy loss: -0.15231971442699432, Critic Loss: 26295.681640625
Epoch: 95, Reward: -1, Policy loss: -0.1907142549753189, Critic Loss: 20621.5859375
Epoch: 96, Reward: -1, Policy loss: -0.1624801605939865, Critic Loss: 30543.5390625
Epoch: 97, Reward: -1, Policy loss: -0.19085481762886047, Critic Loss: 22237.150390625
Epoch: 98, Reward: -100, Policy loss: -0.1641782969236374, Critic Loss: 29427.51953125
Epoch: 99, Reward: -1, Policy loss: -0.18860387802124023, Critic Loss: 23027.673828125
